,n,l,p,s,l_en
0,'t IJ Kadoosje bierpakket,wi394045/t-ij-kadoosje-bierpakket,17.99,"6 x 0,33 l",'t IJ Kadoosje beer package
1,&c,wi410827/en-c,7.45,per stuk,&c
2,100 Watt Orchestra of angels,wi437855/100-watt-orchestra-of-angels,3.29,330 ml,100 Watt Orchestra of Angels
3,100% Coconut grove,wi415202/100-coconut-grove,1.99,1 l,100% Coconut coarse
4,1000 Stories Bourbon barrel aged Zinfandel,wi473073/1000-stories-bourbon-barrel-aged-zinfandel,16.59,"0,75 l",1000 Stories Bourbon barrel aged Zinfandel
5,19 Crimes Chardonnay,wi465846/19-crimes-chardonnay,9.49,"0,75 l",19 Crimes Chardonnay
6,19 Crimes Red blend,wi465836/19-crimes-red-blend,9.49,"0,75 l",19 Crimes Red blend
7,19 Crimes Sauvignon blanc,wi503579/19-crimes-sauvignon-blanc,9.49,"0,75 l",19 Crimes Sauvignon Blanc
8,19 Crimes stoere wijn bundel,wi549193/19-crimes-stoere-wijn-bundel,25.62,per pakket,19 Crimes tough wine bundle
9,2Wine Rose,wi496589/2wine-rose,2.49,250 ml,2Wine Rose
10,2Wine Sparkling brut,wi496588/2wine-sparkling-brut,2.49,250 ml,2Wine Sparkling brut
11,2Wine White,wi496587/2wine-white,2.49,250 ml,2WineWhite
12,4711 Colognette lemon,wi174836/4711-colognette-lemon,3.75,20 stuks,4711 Lemon cologne
13,6e Speciaalbier brouwerij 't IJ gratis!,wi549209/6e-speciaalbier-brouwerij-t-ij-gratis,12.6,per pakket,6th specialty beer brewery 't IJ free!
14,7up Free blik,wi496795/7up-free-blik,0.6900000000000001,330 ml,7up Free look
15,7up Free blik 6-pack,wi496803/7up-free-blik-6-pack,3.49,"1,98 l",7up Free tin 6-pack
16,7up Free lemon lime,wi476564/7up-free-lemon-lime,1.8900000000000001,1 l,7up Free lemon lime
17,7up Free lemon lime,wi2798/7up-free-lemon-lime,2.19,"1,5 l",7up Free lemon lime
18,7up Free lemon lime cherry,wi476565/7up-free-lemon-lime-cherry,2.19,"1,5 l",7up Free lemon lime cherry
19,7up Free tray,wi495806/7up-free-tray,14.75,"7,92 l",7up Free tray
20,7up Regular blik,wi496794/7up-regular-blik,0.6900000000000001,330 ml,7up Regular tin
21,7up Regular blik 6-pack,wi496802/7up-regular-blik-6-pack,3.49,"1,98 l",7up Regular tin 6-pack
22,7up Regular fles,wi195828/7up-regular-fles,1.19,"0,5 l",7up Regular bottle
23,7up Regular lemon lime,wi196003/7up-regular-lemon-lime,1.8900000000000001,1 l,7up Regular lemon lime
24,7up Regular lemon lime,wi436666/7up-regular-lemon-lime,1.99,"1,5 l",7up Regular lemon lime
25,7up Regular lemon lime 4-pack,wi137745/7up-regular-lemon-lime-4-pack,7.95,"4 x 1,5 l",7up Regular lemon lime 4-pack
26,8.6 Extreme strong blond 4-pack,wi548624/8-6-extreme-strong-blond-4-pack,6.99,"4 x 0,5 l",8.6 Extreme strong blond 4-pack
27,8.6 Original intense blond beer 4-pack,wi475731/8-6-original-intense-blond-beer-4-pack,6.59,"4 x 0,5 l",8.6 Original intense blond bear 4-pack
28,8in1 Triple flavour ribs,wi502523/8in1-triple-flavour-ribs,5.99,6 stuks,8in1 Triple flavor ribs
29,A.Vogel Arnica D6,wi176973/a-vogel-arnica-d6,12.29,20 ml,A.Vogel Arnica D6
30,A.Vogel Atrosan Spier- en gewrichtsgel,wi172261/a-vogel-atrosan-spier-en-gewrichtsgel,12.99,100 ml,A.Vogel Atrosan Muscle and joint gel
31,A.Vogel Bioforce creme,wi30669/a-vogel-bioforce-creme,9.49,30 g,A.Vogel Bioforce cream
32,A.Vogel Cinuforce neusspray droog neusslijmvlies,wi200346/a-vogel-cinuforce-neusspray-droog-neusslijmvlies,8.99,15 ml,A.Vogel Cinuforce nasal spray dry nasal mucosa
33,A.Vogel Cinuforce neusspray extra sterk menthol,wi399629/a-vogel-cinuforce-neusspray-extra-sterk-menthol,8.49,20 ml,A.Vogel Cinuforce nasal spray extra strong menthol
34,A.Vogel Cinuforce stoomdruppels vrijer ademen,wi118877/a-vogel-cinuforce-stoomdruppels-vrijer-ademen,8.99,20 ml,A.Vogel Cinuforce steam droplets breathe more freely
35,A.Vogel Cinuforce tabletten,wi71490/a-vogel-cinuforce-tabletten,10.99,80 stuks,A. Vogel Cinuforce tablets
36,A.Vogel Cranberry monarda tabletten,wi176069/a-vogel-cranberry-monarda-tabletten,16.49,30 stuks,A.Vogel Cranberry monarda tablets
37,A.Vogel Dormeasan citroenmelisse sterk**,wi174995/a-vogel-dormeasan-citroenmelisse-sterk,16.99,30 stuks,A.Vogel Dormeasan lemon balm strong**
38,A.Vogel Echinaforce druppels bij griep,wi30622/a-vogel-echinaforce-druppels-bij-griep,10.49,50 ml,A.Vogel Echinaforce drops for flu
39,A.Vogel Echinaforce druppels bij griep,wi59540/a-vogel-echinaforce-druppels-bij-griep,18.99,100 ml,A.Vogel Echinaforce drops for flu
40,A.Vogel Echinaforce herstellende crme ruwe huid,wi59538/a-vogel-echinaforce-herstellende-crme-ruwe-huid,8.99,30 g,A.Vogel Echinaforce restorative cream rough skin
41,A.Vogel Echinaforce hot drink bij griep,wi186507/a-vogel-echinaforce-hot-drink-bij-griep,10.99,100 ml,A.Vogel Echinaforce hot drink for flu
42,A.Vogel Echinaforce junior + vitamine c kauwtab,wi165085/a-vogel-echinaforce-junior-vitamine-c-kauwtab,12.29,40 stuks,A.Vogel Echinaforce junior + vitamin c chewing tab
