,id,title,ingredients,NER,NER_mapped,NER_product_nl,NER_amount_used,NER_recipe_total_price
0,0,No-Bake Nut Cookies,"['236.588 ml firmly packed brown sugar', '118.294 ml evaporated milk', '2.46446 ml vanilla', '118.294 ml broken nuts pecans', '29.5736 ml butter or margarine', '828.058 ml bite size shredded rice biscuits']","[""brown sugar"", ""milk"", ""vanilla"", ""nuts"", ""butter"", ""bite size shredded rice biscuits""]","['sugar', 'milk', 'vanilla', 'nuts', 'butter', 'rice']","['AH Rietsuiker', 'AH Karnemelk', 'AH Muffin vanille', 'AH Walnoten', 'AH Kruidenboter', 'AH Sushi rijst']","[236.588, 118.294, 246.446, 118.294, 29.5736, 828.058]",11.897158346666666
4,4,Reeses Cups(Candy)  ,"['236.588 ml peanut butter', '177.441 ml graham cracker crumbs', '236.588 ml melted butter', '453.592 grams 828.058 ml powdered sugar', '1.0 large pkg. chocolate chips']","[""peanut butter"", ""graham cracker crumbs"", ""butter"", ""powdered sugar"", ""chocolate chips""]","['butter', 'cracker', 'butter', 'sugar', 'chip']","['AH Kruidenboter', 'AH Notenkraker', 'AH Kruidenboter', 'AH Rietsuiker', 'AH Oven friet']","[236.588, 177.441, 236.588, 453.592, 100.0]",14.958506993333332
5,5,Cheeseburger Potato Soup,"['6.0 baking potatoes', '453.592 grams of extra lean ground beef', '157.7253333333333 ml butter or margarine', '1419.528 ml milk', '3.69669 ml salt', '2.46446 ml pepper', 'ml 532.323 ml shredded cheddar cheese, divided', '12.0 sliced bacon, cooked, crumbled and divided', '4.0 green onion, chopped and divided', '236.588 ml carton sour cream optional']","[""baking potatoes"", ""extra lean ground beef"", ""butter"", ""milk"", ""salt"", ""pepper"", ""Cheddar cheese"", ""bacon"", ""green onion"", ""sour cream""]","['potato', 'ground beef', 'butter', 'milk', 'salt', 'pepper', 'cheese', 'bacon', 'onion', 'cream']","['AH Vastkokende aardappel', 'AH Mager rundergehakt', 'AH Kruidenboter', 'AH Karnemelk', 'AH Doperwten 0% zout', 'AH Rode peper', 'AH Leverkaas', 'AH Feest spekken', 'AH Rode uien', 'AH Roomijsjes']","[600.0, 453.592, 157.7253333333333, 1419.528, 369.669, 246.446, 100.0, 1200.0, 400.0, 236.588]",19.4173387745098
6,6,Rhubarb Coffee Cake,"['354.882 ml sugar', '118.294 ml butter', '1.0 egg', '236.588 ml buttermilk', '473.176 ml flour', '2.46446 ml salt', '4.92892 ml soda', '236.588 ml buttermilk', '473.176 ml rhubarb, finely cut', '4.92892 ml vanilla']","[""sugar"", ""butter"", ""egg"", ""buttermilk"", ""flour"", ""salt"", ""soda"", ""buttermilk"", ""rhubarb"", ""vanilla""]","['sugar', 'butter', 'egg', 'buttermilk', 'flour', 'salt', 'soda', 'buttermilk', 'rhubarb', 'vanilla']","['AH Rietsuiker', 'AH Kruidenboter', 'AH Lasagne ei', 'Arla Biologisch karnemelk', 'AH Tarwe bloem', 'AH Doperwten 0% zout', 'Driehoek Vloeibare soda', 'Arla Biologisch karnemelk', 'Hak Rabarbercompote', 'AH Muffin vanille']","[354.882, 118.294, 100.0, 236.588, 473.176, 246.446, 492.892, 236.588, 473.176, 492.892]",18.928808389516124
7,7,Scalloped Corn,"['1.0 can cream-style corn', '1.0 can whole kernel corn', '0.5 pkg. approximately 20.0 saltine crackers, crushed', '1.0 egg, beaten', '29.57352 ml butter, divided', 'pepper to taste']","[""cream-style corn"", ""whole kernel corn"", ""crackers"", ""egg"", ""butter"", ""pepper""]","['corn', 'corn', 'crackers', 'egg', 'butter', 'pepper']","['AH Popcorn Zout', 'AH Popcorn Zout', 'AH Soja crackers', 'AH Lasagne ei', 'AH Kruidenboter', 'AH Rode peper']","[100.0, 100.0, 50.0, 100.0, 29.57352, 100.0]",4.188526142857143
12,12,Quick Barbecue Wings,"['chicken wings as many as you need for dinner', 'flour', 'barbecue sauce your choice']","[""chicken"", ""flour"", ""barbecue sauce""]","['chicken', 'flour', 'barbecue sauce']","['AH Bapao kip', 'AH Tarwe bloem', 'Yildriz Amerikaanse barbecue saus']","[100.0, 100.0, 100.0]",1.2724050943396228
13,13,Taco Salad Chip Dip,"['236.588 ml ortega taco sauce', '236.588 ml sour cream', '236.588 ml cream cheese', '453.592 grams ground beef', '1.0 pkg. taco seasoning', 'shredded lettuce', '1.0 large diced tomato', '1.0 medium diced onion', '1.0 large diced green pepper', 'shredded colby or cheddar cheese']","[""taco sauce"", ""sour cream"", ""cream cheese"", ""ground beef"", ""taco seasoning"", ""shredded lettuce"", ""tomato"", ""onion"", ""green pepper"", ""Cheddar cheese""]","['taco sauce', 'cream', 'cheese', 'beef', 'seasoning', 'lettuce', 'tomato', 'onion', 'pepper', 'cheese']","['Santa Maria Taco saus medium', 'AH Roomijsjes', 'AH Leverkaas', 'AH Rosbief', 'AH Taco seasoning mix', 'AH Kropsla', 'AH Roma tomaten', 'AH Rode uien', 'AH Rode peper', 'AH Leverkaas']","[236.588, 236.588, 236.588, 453.592, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",22.9275855431677
16,16,Easy German Chocolate Cake,"['0.5 pkg. chocolate fudge cake mix without pudding or 1.0 jiffy mix', '0.5 pkg. white cake mix without pudding or 1.0 jiffy mix', '59.147 ml wesson oil']","[""chocolate fudge cake"", ""white cake"", ""Wesson oil""]","['cake', 'cake', 'oil']","['AH Cupcakes', 'AH Cupcakes', 'AH Slaolie']","[50.0, 50.0, 59.147]",2.1984953
17,17,Broccoli Salad,"['1.0 large head broccoli about 680.3879999999999 grams', '10.0 slices bacon, cooked and crumbled', '5.0 green onions, sliced or 59.147 ml chopped red onion', '118.294 ml raisins', '236.588 ml mayonnaise', '29.5736 ml vinegar', '59.147 ml sugar']","[""broccoli"", ""bacon"", ""green onions"", ""raisins"", ""mayonnaise"", ""vinegar"", ""sugar""]","['broccoli', 'bacon', 'onion', 'raisins', 'mayonnaise', 'vinegar', 'sugar']","['AH Aspergebroccoli', 'AH Feest spekken', 'AH Rode uien', 'AH Blanke rozijnen', 'AH Pesto mayonaise', 'AH Natuurazijn wit', 'AH Rietsuiker']","[100.0, 1000.0, 500.0, 118.294, 236.588, 29.5736, 59.147]",13.257876052
24,24,Prize-Winning Meat Loaf,"['680.3879999999999 grams ground beef', '236.588 ml tomato juice', '177.441 ml oats uncooked', '1.0 egg, beaten', '59.147 ml chopped onion', '1.23223 ml pepper', '7.39338 ml salt']","[""ground beef"", ""tomato juice"", ""oats"", ""egg"", ""onion"", ""pepper"", ""salt""]","['beef', 'juice', 'oats', 'egg', 'onion', 'pepper', 'salt']","['AH Rosbief', 'AH Appelsap', 'AH Barista haver', 'AH Lasagne ei', 'AH Rode uien', 'AH Rode peper', 'AH Doperwten 0% zout']","[680.3879999999999, 236.588, 177.441, 100.0, 59.147, 123.223, 739.338]",24.429999595686276
